"id","bike_id","latitude","longitude","timestamp","name","state","reportedIssue"
2,1,27.71506213170218,-82.68947416009979,2026-05-07 22:51:02.000,Yike #1,available,
3,2,27.716239701087986,-82.68987325503196,2026-05-07 22:51:02.000,Yike #2,available,
4,3,27.714962345345143,-82.69178153288064,2026-05-07 22:51:02.000,Yike #3,available,
5,4,27.711176191925748,-82.689488734678,2026-05-07 22:51:02.000,Yike #4,needsRepair,
6,5,27.712827102330063,-82.68889077478327,2026-05-07 22:51:02.000,Yike #5,available,
7,6,27.713731086698882,-82.68673607467036,2026-05-07 22:51:02.000,Yike #6,available,
8,7,27.71444983807804,-82.68685912442344,2026-05-07 22:51:02.000,Yike #7,needsRepair,
9,8,27.7181,-82.6898,2026-05-07 22:51:02.000,Yike #8,hidden,
10,9,27.718467029916543,-82.68824965892485,2026-05-07 22:51:02.000,Yike #9,available,
11,10,27.717677471934596,-82.6884700852481,2026-05-07 22:51:02.000,Yike #10,available,
12,11,27.7149,-82.682,2026-05-07 22:51:02.000,Yike #11,hidden,
13,12,27.71307376109424,-82.68574422664997,2026-05-07 22:51:02.000,Yike #12,available,
